Timestamp: 10/dez/2019 17:03:00


"run","tick","NumFireFighters","RngSeed","NumFires","NumFireFighters","NumFires"
1,605.0,2,1575997380232,1,2.0,1.0
1,605.0,2,1575997380232,1,2.0,1.0
2,1861.0,3,1575997389421,2,3.0,2.0
2,1861.0,3,1575997389421,2,3.0,2.0
3,1433.0,4,1575997403168,3,4.0,3.0
3,1433.0,4,1575997403168,3,4.0,3.0
4,933.0,5,1575997412376,4,5.0,4.0
4,933.0,5,1575997412376,4,5.0,4.0
5,8434.0,6,1575997418338,5,6.0,5.0
5,8434.0,6,1575997418338,5,6.0,5.0
6,11692.0,7,1575997478618,6,7.0,6.0
6,11692.0,7,1575997478618,6,7.0,6.0
7,7683.0,8,1575997548027,7,8.0,7.0
7,7683.0,8,1575997548027,7,8.0,7.0
8,3215.0,9,1575997596474,8,9.0,8.0
8,3215.0,9,1575997596474,8,9.0,8.0
